CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,balance_log,salary_log,product_norm,tenure_norm,card_flag,active_flag,salary_balance_ratio,product_per_tenure,zero_balance_flag,high_balance_flag,Balance_Category,engagement_score,low_engagement_flag,activity_product_interaction,balance_activity_gap,tenure_engagement_ratio,is_dormant_high_value,product_intensity,Geography_Germany,Geography_Spain,Gender_Male,cluster_id,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3,dist_to_cluster_4,Engagement_Segment,is_active_power_core,is_active_casual,is_inactive_disengaged,is_inactive_high_balance,is_inactive_low_balance,customer_value_segment,Exited
753,57,7,0.0,1,1,0,159475.08,0.0,11.979649221308575,0.25,0.7,1,0,159475.08,0.125,1,0,Zero Balance,0.195,1,0,0.0,0.024375,0,Low,False,False,True,2,3.9010158772335433,2.9516196085301867,1.9347679151126633,3.5823771510068436,2.6733214377481396,Inactive_Disengaged,0,0,1,0,0,Low Value,1
739,32,3,102128.27,1,1,0,63981.37,11.533994642793735,11.066362855643323,0.25,0.3,1,0,0.6264743691989574,0.25,0,0,Medium Balance,0.2947307135442887,1,0,102128.27,0.07368267838607218,0,Low,True,False,True,1,2.856039124748274,0.8808937365688517,2.6642960322303275,2.6875455695855908,1.9962179309434256,Inactive_High_Balance,0,0,0,1,0,High Value,1
755,37,0,113865.23,2,1,1,117396.25,11.642779617326475,11.673318761910982,0.5,0.0,1,1,1.0310014654915685,2.0,0,0,Medium Balance,0.7410486092590969,0,2,0.0,0.7410486092590969,0,Medium,True,False,False,3,3.811634707137344,2.2221389934905207,3.1283548770155076,1.9865815352342886,3.273912971604543,Active_Power_Core,1,0,0,0,0,Platinum Value,0
561,37,5,0.0,2,1,0,83093.25,0.0,11.327730784707063,0.5,0.5,1,0,83093.25,0.3333333333333333,1,0,Zero Balance,0.25,1,0,0.0,0.041666666666666664,0,Medium,False,False,True,2,3.173797502736934,2.9167948435302518,0.8754185305861555,2.741700322555328,3.1234680828305654,Inactive_Disengaged,0,0,1,0,0,Low Value,0
692,49,6,110540.43,2,0,1,107472.99,11.613145661797155,11.585004143786016,0.5,0.6,0,1,0.9722417196882654,0.2857142857142857,0,0,Medium Balance,0.7506896032183026,0,2,0.0,0.10724137188832894,0,Medium,True,False,True,3,3.3955526623748247,2.446976917463792,2.635041169076788,0.6573188578079626,2.053587845687883,Active_Power_Core,1,0,0,0,0,Platinum Value,0
659,38,9,0.0,2,1,1,132809.18,0.0,11.796676169713008,0.5,0.9,1,1,132809.18,0.2,1,0,Zero Balance,0.6900000000000001,0,2,0.0,0.069,0,Medium,False,False,False,2,3.8404509916757745,3.6548968653662937,1.927284621947786,2.4475696253066546,2.8132618977642867,Inactive_Disengaged,0,0,1,0,0,Low Value,0
782,34,9,0.0,1,1,0,183021.06,0.0,12.117361971006506,0.25,0.9,1,0,183021.06,0.1,1,0,Zero Balance,0.21500000000000002,1,0,0.0,0.021500000000000002,0,Low,False,False,True,2,4.1748402134423035,3.372715024144823,2.2659386177249603,3.71934821025309,2.6886576030631937,Inactive_Disengaged,0,0,1,0,0,Low Value,1
546,24,8,156325.38,1,1,1,125381.02,11.959701280159209,11.73912051572067,0.25,0.8,1,1,0.802046462023876,0.1111111111111111,0,1,High Balance,0.7498880154194707,0,1,0.0,0.08332089060216341,0,Low,False,False,True,4,3.700860405989286,2.4198363243831067,3.154987260901811,2.2458082359608014,1.0333320744239227,Active_Casual,0,1,0,0,0,Platinum Value,0
756,41,2,124439.49,2,0,1,47093.11,11.731582888644452,10.759903219106164,0.5,0.2,0,1,0.37843880235444266,0.6666666666666666,0,0,Medium Balance,0.7121244329308272,0,2,0.0,0.23737481097694238,0,Medium,True,False,True,3,2.7965404433135053,2.0800049794110635,2.8187095812825462,1.460466312836394,2.777246559411549,Active_Power_Core,1,0,0,0,0,Platinum Value,0
685,34,6,83264.28,1,0,0,9663.28,11.32978693454418,9.176191893264805,0.25,0.6,0,0,0.11605413444835591,0.14285714285714285,0,0,Medium Balance,0.27225680145496917,1,0,83264.28,0.03889382877928131,0,Low,False,True,True,0,1.6559312559283048,2.7298780485521332,3.4268776746293845,3.4614603755713684,2.6429591087684647,Inactive_Low_Balance,0,0,0,0,1,Medium Value,0
